Titel,Samenvatting,Locatie,Datum,Link
Hoeveel regen kunnen we de komende uren nog verwachten?,"“De waterellende is nog niet voorbij” Met die weinig opbeurende boodschap begon Frank Deboosere zijn weerbericht op de tv Op de radar ziet de weerman dat de regenzone die de watersnood in Wallonië en het oosten van Limburg heeft veroorzaakt afgelopen nacht opgeschoven is naar het centrum van het land Na de oostelijke provincies krijgen vandaag ook de provincies Vlaams-Brabant en Antwerpen bakken met water over zich heen “Op verschillende plaatsen in die provincies is de voorbije 24 uren 40 tot 60 liter per vierkante meter gevallen en het is nog niet voorbij want de neerslagzone blijft maar haperen” Bekijk hier een korte voorspelling die Frank Deboosere vanavond deed in ""Het journaal"" Lees verder onder de video Videospeler inladen Richting Duitsland De komende uren zullen er nog tientallen liters water per vierkante meter vallen in het centrum - in de provincies Antwerpen Vlaams-Brabant Waals-Brabant Henegouwen en Namen - en het oosten van het land - in Limburg Luik en Luxemburg “De regenzone die nu over het centrum van het land hangt gaat zich de komende 24 uren weer verplaatsen richting Duitsland” Dat is slecht nieuws voor de provincies in het oosten en het zuiden van België die kampen met overstromingen Zonnig weekend “In de loop van de nacht zal de regenzone weer van het centrum naar het oosten trekken waar het nog geruime tijd zal regenen” voorspelt Deboosere Maar en dan komt eindelijk het goede nieuws “daarna wordt het morgen vanuit het westen droog weer met opklaringen” Morgenvoormiddag kan het ten zuiden van de Samber en de Maas wel nog erg buiig zijn “Maar daarna zou het ook daar droger moeten worden” besluit de weerman En in het weekend na het optrekken van het ochtendgrijs wordt het uiteindelijk zonnig met temperaturen van 24 à 25 graden en vooral droger dan vandaag Begin volgende week op maandag en dinsdag wordt het weer wat bewolkter maar het zou droog blijven Woensdag en donderdag zou het opnieuw opklaren Bekijk het meest recente weerbericht op onze weerpagina ",Antwerpen,2021-07-15,https://www.vrt.be/vrtnws/nl/2021/07/15/weersverwachting/
"Jos Lantmeeters na een bewogen jaar als nieuwe gouverneur: ""Het was uitdagender dan ik had verwacht""","""Het is uitdagender geweest dan ik verwacht had"" zegt gouverneur Jos Lantmeeters ""Het was een heel druk jaar en het was spannend ik heb geen seconde kunnen stilzitten maar ik heb het met veel plezier gedaan"" Coronacrisis Op het vlak van de coronacrisis is de gouverneur tevreden over de samenwerking binnen de provincie ""We hebben de maatregelen kunnen nemen die nodig waren in Limburg"" Maar Lantmeeters is ook blij dat de federale fase in de coronamaatregelen binnenkort voorbij is ""Ik ben voorstander om te kijken welke maatregelen nodig zijn op welke plaats Tijdens de tweede golf was de situatie in Limburg goed maar de maatregelen waren streng Strenger dan nodig en dan vind ik dat er toch meer lokale maatregelen genomen moeten kunnen worden"" Zeker als de vaccinatiegraad hoog is Ik vind het vanzelfsprekend dat we in Limburg andere maatregelen moeten kunnen toepassen dan in Brussel bijvoorbeeld Gouverneur Jos Lantmeeters ""Ik vind het vanzelfsprekend dat we in Limburg andere maatregelen moeten kunnen toepassen dan in Brussel bijvoorbeeld"" gaat de gouverneur verder ""Binnenkort komt de bevoegdheid iets dichter bij de gouverneur en de burgemeesters en dat vind ik goed Ik denk dat de burgers ook meer vertrouwen hebben in de lokale besturen"" Wateroverlast De watersnood in Limburg heeft de gouverneur ook kopzorgen bezorgd ""De waterstand van de Maas heeft ons ernstige zorgen gebaard en nadien ook de Demer Het was spannend maar ook daar is de samenwerking in Limburg goed verlopen Samen met defensie brandweer en civiele bescherming hebben we de sitiatie onder controle gekregen en als gouverneur is het dan fijn om zo te kunnen werken"" Grote eer Na een jaar maakt Jos Lantmeeters de balans op ""Het is een hele eer om gouverneur van Limburg te zijn Na een jaar kan ik zeggen dat ik het met veel plezier doe met veel overgave en ik wil dat nog jaren blijven doen"" ",Brussel,2021-08-26,https://www.vrt.be/vrtnws/nl/2021/08/26/jos-lantmeeters-na-een-bewogen-jaar-als-nieuwe-gouverneur/
Welke weer-app is de beste? (en een gouden tip van weervrouw Sabine Hagedoren),"Gebruikers van toestellen die op het besturingssysteem Android van Google of iOS van Apple draaien krijgen vaak standaard al een weerapp aangeboden Handig maar die apps zijn niet altijd accuraat want alles gebeurt automatisch Daarnaast zijn ook apps als Buienradar en Buienalarm populair en de app van het KMI Belangrijk om goede voorspellingen te maken is dat er een menselijke tussenkomst is VRT-weervrouw Sabine Hagedoren maakt haar weerberichten op basis van de informatie van het KMI het Koninklijk Meteorologisch Instituut Zij raadt dan ook die app aan ""Voor voorspellingen op korte termijn zijn die gegevens gewoon heel betrouwbaar en de app is erg gebruiksvriendelijk Je vindt daar allerlei gegevens zoals de temperatuur windrichting windsnelheid en neerslag voor de komende 24 uur en je kan je locatie instellen"" Hagedoren vermoedt dat de meeste mensen weerapps voornamelijk gebruiken om te checken of het die dag gaat regenen ""Een doorsnee gebruiker wil eigenlijk vooral weten of hij zijn gras nog kan gaan afrijden of niet Waar zitten die buien en wanneer zijn ze bij mij Dat kan je daar perfect in aflezen"" Menselijke factor is cruciaal Buienradar is een commercieel bedrijf dat ook in ons land actief is Twee Belgische meteorologen kijken de gegevens die gebruikers van de app of website te zien krijgen dagelijks na Veel apps maken - net als de weermannen en -vrouwen op televisie - gebruik van dezelfde weermodellen Zowel het KMI als Buienradar gebruiken bijvoorbeeld het Europese weermodel Bij de weerapps van Google of Apple komt geen mens meer aan te pas ""Maar weermodellen doen geen voorspellingen ze geven alleen waardes"" legt weerman Michel Nulens van Buienradar uit ""De computer gaat op basis van die waardes berekeningen maken en giet die dan in een begrijpelijk beeld zoals het kaartje waarop je de buien ziet Onze weersvoorspeller kijkt dan alles nog even na vooraleer we de informatie in de app updaten"" Ook het KMI werkt op een gelijkaardige manier vertelt Sabine Hagedoren ""Het is inderdaad niet zo dat het KMI het weermodel helemaal loslaat en er dan verder niets meer aan doet De weersvoorspeller in Ukkel stuurt de voorspellingen bij mocht dat nodig zijn"" Vaste apps op je smartphone werken anders Dat is het grote verschil met de apps van bijvoorbeeld Google en Apple ""Daar komt in principe geen mens meer aan te pas"" weet Nulens ""De gegevens van de computermodellen worden rechtstreeks in die apps gepompt Daardoor zijn ze geregeld minder accuraat"" ""De ervaring die je als voorspeller hebt is enorm belangrijk"" gaat Nulens verder ""Als weerman weet je bijvoorbeeld dat bepaalde voorspellingen op langere termijn nog helemaal kunnen veranderen Een model kan 100 procent zeker zijn dat er een storm op komst is maar dan moet je als weerman je verantwoordelijkheid nemen en niet onmiddellijk paniek zaaien"" Waarom vergissen weerapps zich soms Of het nu die van het KMI Buienradar of een andere weerapp is voorspellingen zijn nooit volledig waterdicht Net als een weersvoorspeller kan ook een computermodel er al eens naast zitten Zo is motregen soms zo dun dat de druppels niet worden opgepikt op de radar Dan kan het zijn dat je toch nattigheid voelt terwijl de app had beloofd dat het droog zou blijven ""Buien kunnen soms ook op korte termijn ontstaan In de zomer kan dat bijvoorbeeld heel snel gaan"" legt Hagedoren uit ""De buienradars van apps hebben die bui op dat moment nog niet gezien dus kunnen ze er ook nog geen berekeningen op maken Als je dan net op je app hebt gekeken en er was geen regen voorspeld dan kan je een kwartier later plots wel nat worden"" ""Soms voorspellen apps ook omgekeerd dat er over een uurtje een bui over jouw locatie zal trekken maar toch blijft het droog Dat komt omdat de bui tegen die tijd al opgedroogd is dat de wolk leeg is Dat zijn foutjes die nog in het systeem zitten Daardoor vinden mensen soms dat weerapps onbetrouwbaar zijn"" aldus de weervrouw Weersvoorspellingen in het buitenland Sabine Hagedoren geeft graag nog een extra tip mee voor mensen die regelmatig naar het buitenland gaan ""Gebruik altijd de app van het meteorologisch instituut van het land waarin je verblijft Zij kennen de plaatselijke situatie het best en kunnen dus ook de meest betrouwbare voorspellingen maken"" ",Ukkel,2023-11-19,https://www.vrt.be/vrtnws/nl/2023/11/16/weer-apps/
"Halle wil graag vrijwilligerskorps oprichten: ""Kunnen hulpdiensten bijstaan bij grote incidenten""","Gemeenteraadslid Sven Pletincx N-VA haalde de inspiratie voor zijn voorstel bij partijgenoot Theo Francken uit Lubbeek Hij richtte in de zomer van 2022 in zijn gemeente een vrijwilligerskorps op dat hulp moet bieden bij grote calamiteiten Het initiatief kreeg intussen al navolging in andere gemeenten De Vlaamse overheid werkte het initiatief verder uit in de vorm van een draaiboek zodat alle Vlaamse gemeenten kunnen volgen Niet overhaast Archieffoto archieffoto ter illustratie Jonas Roosens Lubbeek Lubbeek start met vrijwilligerskorps van jongeren ""Meteen paraat staan bij overstromingen of hittegolven"" do 30 jun 2022 0942 ""Er zijn al heel wat vrijwilligers actief in Halle maar deze groep zou bijstand kunnen bieden in het geval van een gezondheidscrisis zoals corona of in gevallen van grote nood zoals watersnood of het verdelen van drinkwater"" licht Pletincx toe ""Maar we moeten niet overhaast tewerk gaan Mijn voorstel was om een voorbereidende studie op te stellen om te kijken wat de noden zijn welke opleidingen de vrijwilligers moeten volgen en wat dat allemaal moet kosten"" Unaniem goedgekeurd ""Voor mij is het de eerste keer dat een toegevoegd punt vanuit de oppositie unanieme goedkeuring krijgt van de gemeenteraad"" stelt Pletincx ""Ik had de indruk dat de meerderheid het idee sterk genegen was De burgemeester zei dat bijvoorbeeld de brandweer nog veel vrijwilligers zoekt De Vlaamse Overheid biedt ook de nodige omkadering en begeleiding Maar laten we nu eerst kijken hoe dat specifiek in Halle kan gebeuren Een timing voor de effectieve oprichting van het korps hebben we dan ook niet vastgelegd"" besluit Pletincx ",Halle,2024-01-24,https://www.vrt.be/vrtnws/nl/2024/01/24/halle-onderzoekt-mogelijkheid-om-vrijwilligerskorps-op-te-richte/
Carrefour Gentbrugge in de bres voor slachtoffers noodweer: “Groot deel in magazijn gestockeerd”,De beelden van inwoners die uit pure wanhoop naar het dak van hun woning vluchten en water dat tot op borsthoogte in de huizen staat hakte er donderdag hard in bij Ellen “Ik werd er echt emotioneel van” vertelt ze “Ik vroeg meteen mijn verantwoordelijke van de Carrefour Market waar ik zelf werk of we hier geen inzamelactie konden doen Ze zag dat helemaal zitten” Ellen postte een oproep op Facebook en die werd in een mum van tijd honderden keren gedeeld Wij staan normaal op de rommelmarkt maar als je die beelden ziet willen we in plaats van geld te verdienen veel liever alles wegschenken om te helpen Alles wat ik kan geven heb ik mee Gentbruggenaar die spullen doneerde Massale opkomst Dat vertaalde zich vandaag in een enorme solidariteitsgolf De hele dag door brachten tientallen mensen zakken met hulpgoederen naar de supermarkt in de Frederik Burvenichstraat “Wij staan normaal op de rommelmarkt maar als je die beelden ziet willen we in plaats van geld te verdienen veel liever alles wegschenken om te helpen Alles wat ik kan geven heb ik mee” vertelt een barmhartige ziel “Ik heb kussens deken fleece schoenen rugzakken boekentassen en kledij mee” zegt Anja “Het is een kleine inspanning om die mensen daar een beetje te helpen Wat die mensen moeten meemaken… Dat is erg ingrijpend” Sommige mensen zoals Karen kwamen enkele keren terug om spullen binnen te brengen “Want het is te veel om in een keer te dragen” lacht ze Karavaan Het personeel van de Carrefour moest uiteindelijk zelfs ingrijpen Mensen brachten zo veel spullen binnen dat de hele ingang vol kwam te staan “We hebben uiteindelijk een groot deel in het magazijn moeten stockeren” gaat Ellen Jacobs verder “Ik had dit echt nooit verwacht Maar dit toont nogmaals wat voor een warme mensen de Gentenaars zijn” Vanavond om 18 uur brengt Ellen en haar team alle ingezamelde spullen over naar het donorcentrum in Luik Logistiek belooft het alvast een hele onderneming te worden “We hadden een huurwagen geboekt maar we moesten ondertussen al bellen om die te vervangen door een grote bestelwagen Maar zelfs die zal nu veel te klein zijn Daarom doe ik een warme oproep aan iedereen die vanavond mee wil rijden naar Luik Want met al het gerief zullen we een karavaan aan auto’s nodig hebben” ,Gentbrugge,2021-07-16,https://www.vrt.be/vrtnws/nl/2021/07/16/carrefour-gentbrugge-in-de-bres-voor-slachtoffers-noodweer-groo/
"Veel spontane hulpacties na watersnood: ""Wij vinden het onze plicht om de mensen te helpen""","De beklijvende beelden van de waterellende hebben heel wat mensen beroerd In het hele land is een spontane golf van solidariteit op gang gekomen Veel mensen willen op de een of andere manier helpen ze zamelen spullen in om naar de getroffen gebieden te brengen of ze trekken zelf naar daar om te helpen met de schoonmaak Zo ook Sandra 24 en Tessa 23 uit Aalst die naar Pepinster trokken ""Wij vinden het onze plicht om de mensen te helpen"" leggen ze uit Ze hadden zich eerst ingeschreven op het crisisplatform van het Rode Kruis maar daar zouden ze pas binnen een week bericht van krijgen ""Die mensen kunnen nù al hulp gebruiken dus zijn we in de auto gestapt en naar hier gekomen"" In hun auto hebben ze allerlei spullen verzameld om de mensen te kunnen helpen Zo hebben ze oude kleren voedselconserven en allerlei kuisproducten mee ""In een restaurant was de kelder volledig ondergelopen Daar hebben we geholpen om spullen naar boven te brengen en het water op te dweilen De mensen reageren ook allemaal heel erg dankbaar"" Vrijwilligers komen massaal helpen in de getroffen gebieden Videospeler inladen ""Noden in kaart brengen hoeveel mensen nodig voor welke taak op welke plaats"" Er zijn dus al allerlei hulpacties opgezet maar de officiële hulpverlening wordt georganiseerd door het Rode Kruis Wie zich wil inzetten als vrijwilliger kan zich sinds vrijdag aanmelden op het crisisplatform In amper twee dagen tijd hebben zich meer dan 8500 mensen aangemeld om ergens mee te helpen zegt woordvoerder Jan Poté ""Het gaat hard"" Golf van solidariteit na waterellende ""Hartverwarmend"" ""Wie zich aanmeldt als vrijwilliger wordt vandaag nog niet ingezet"" zegt Poté ""We moeten eerst de noden in kaart brengen weten hoeveel mensen we nodig hebben voor welke taak en op welke plaats En die noden eerst bekijken is echt een prioriteit ook voor de getroffen gemeenten Nu het water meer en meer wegtrekt wordt de schade ook meer en meer duidelijk De komende dagen krijgen we dus meer zicht op wie we waar kunnen inzetten en waarvoor"" Naar alle verwachting zullen de eerste vrijwilligers volgende week aan de slag kunnen zoals ook Tessa en Sandra ondervonden De opdrachten kunnen heel divers zijn ""Ook dat hangt af van de noden die zullen blijken Het leger en de Civiele Bescherming zijn nu bezig met het grote puin ruimen Het kan zijn dat we nadien vrijwilligers nodig hebben voor de opkuis of ook om gewoon een luisterend oor te zijn Heel gevarieerd dus dat zal duidelijk in de loop van de komende dagen"" Wie zich aangemeld heeft als vrijwilliger zal een mailtje krijgen als zich concrete taken aandienen Hij of zij kan dan kiezen voor welke opdrachten hij of zij zich wil inzetten Eigen acties misschien niet het beste idee ""er is nog een acute noodsituatie"" Veel mensen hebben intussen dus hun eigen acties opgestart maar is dat wel het beste idee Er komen momenteel veel goederen binnen maar dat vormt ook een logistiek probleem ""We appreciëren die solidariteit enorm dat is warm Ik heb iemand eens horen zeggen ""warm en solidair gaan niet altijd samen met efficiënte hulpverlening"" ik vrees dat dat wel zo is"" Nu op eigen initiatief vrachtwagens vol met goederen naar daar sturen is ook misschien niet waar mensen daar nu op zitten te wachten ""We hebben nog geen zicht op de noden op langere termijn en dan zijn we niet goed bezig"" Ik heb iemand eens horen zeggen ""warm en solidair gaan niet altijd samen met efficiënte hulpverlening"" ik vrees dat dat wel zo is Jan Poté woordvoerder Rode Kruis ""Hoe goedbedoeld ook op dit ogenblik verkeren we nog in een acute situatie waar noodhulp nodig is"" zegt Poté ""Er is bijvoorbeeld nog overstromingsgevaar het leger en de Civiele Bescherming moeten straten en wegen stabiliseren en enigszins berijdbaar maken Dit is de eerste fase op korte termijn Er wordt voor de mensen daar gezorgd door het Rode Kruis het leger de overheid"" ""De volgende fase op langere termijn dan kunnen mensen concreet hulp bieden We moeten eerst weten wat nodig is Dat gebeurt in samenspraak met het crisiscentrum ook met de steden en gemeenten ter plaatse Zij moeten heel duidelijk aangeven waar zij nood aan hebben op dat moment"" Je kan op dit moment het beste helpen door een gift te doen aan het Rode Kruis op het rekeningnummer BE70 0000 0000 2525 door je aan te melden als crisisvrijwilliger of door te wachten tot het Rode Kruis of gemeenten zelf een specifieke oproep lanceren ",Aalst,2021-07-18,https://www.vrt.be/vrtnws/nl/2021/07/18/hulpverlening-door-het-rode-kruis/
"Bij buitenlandse rampen lukt coördinatie tussen hulpdiensten wel, waarom in eigen land minder?","Het herstel in de getroffen regio gaat nog lang duren Op sommige plekken is drie weken na de watersramp de nood nog altijd bijzonder hoog De kritiek op de aanpak zwelt intussen aan Gijs merkt ook op dat het niet overal even vlot verloopt maar wil niet met de vinger wijzen ""Ik ken geen enkele hulpverlener die bewust een fout maakt dat het nu fout loopt is vooral een samenloop van omstandigheden en wijst op een systeemfout"" zegt Gijs ""Iets is niet meer aangepast aan de noden van deze tijd We moeten kijken hoe we het systeem kunnen verbeteren"" ""We moeten op alle niveaus prioriteit geven aan crisisbeheer"" zegt Gijs in op Radio 1 Ex-coördinator van B-Fast Geert Gijs over overstromingen ""Crisisbeheer moet efficiënter"" Sinds enkele jaren is het B-Fast-team opgedoekt wegens bezuinigingen Het ""Belgian First Aid and Support Team"" rukte uit bij grote rampen in het buitenland om snel noodhulp te bieden Hadden ze nog bestaan dan hadden ze uiteraard ook in Luik en omgeving hun steentje kunnen bijdragen ""We hadden een verschil kunnen maken"" zegt Gijs daarover ""maar de kennis en expertise is uiteraard nog altijd aanwezig"" B-Fast had een verschil kunnen maken maar de kennis en expertise is uiteraard nog altijd aanwezig Gijs pleit er vooral voor om te leren uit onze jarenlange internationale ervaring ""Als je in het buitenland helpt bij een ramp kom je samen met tientallen andere internationale teams op het terrein terecht die allemaal dezelfde visie hebben op de aanpak van een crisis"" legt hij uit ""Op internationaal niveau is getraind op samenwerken en informatie delen Misschien moeten we dat in eigen land ook zo proberen"" De gewezen B-Fast-coördinator wil daarom vooral vooruit kijken ""We moeten lessen trekken uit deze crisis en beter leren samenwerken"" zegt hij ""Het bestrijden van de crisis is belangrijker dan de individuele hulpdienst of de politieke lagen in ons land Het oplossen van de crisis moet primeren We moeten op elk niveau prioriteit geven aan crisisbeheer"" ""Terzake"" schetste vorige week een onthutsend beeld van de amateuristische hulpverlening in Pepinster Videospeler inladen Het leger aan het werk in Yvoir Noodweer Na waterramp kijken inwoners naar leger vicestafchef Marc Thys ""Roeien met riemen die je hebt en die zijn heel kor do 05 aug 2021 2104 Kritiek van Defensie en hulpdiensten Legertopman luitenant-generaal Marc Thys spaarde gisteren in ""Terzake"" zijn kritiek niet De middelen van de Civiele Bescherming de brandweer en het leger zijn volgens hem de laatste jaren zo uitgedund dat het soms moeilijk is om hun taak uit te voeren ""Ik begrijp dat men gekeken heeft naar efficiëntiewinsten maar in de hulpverlening gaat het niet om efficiëntie maar om effectiviteit"" zei hij Als concreet voorbeeld haalt Thys er de genietroepen van het leger bij die sterk zijn afgebouwd ""Vroeger hadden wij volledige eenheden voor het herstellen van wegen maar vandaag is dat heel beperkt geworden Vroeger konden wij bruggen leggen nu niet meer Het gaat hier om een erosie van het defensie-apparaat en van andere diensten"" klonk het ""We hebben een crisis nodig om tot het besef te komen dat we een probleem hebben"" zei Marc Thys in ""Terzake"" Videospeler inladen Volgens Bert Brugghemans commandant van de brandweerzone Antwerpen kan het zeker op vlak van coördinatie en communicatie beter ""Dat wij met brandweerzone Antwerpen naar Luik gingen en hoe we samen met de lokale zone de hulpverlening konden opstarten is te danken aan ons vrijwillige netwerk van brandweerzones zelf"" zei hij enkele dagen geleden nog aan onze redactie Ook het Rode Kruis geeft toe dat het op het terrein niet naar behoren verloopt Noodweer Rode Kruis heeft al 30 miljoen euro opgehaald maar ook kritiek ""Systemen in België onvoldoende sterk voor zon ramp"" Update di 03 aug 2021 0811 Eerder had ook crisisexpert Hugo Marynissen Antwerp Management School kritiek Hij vindt dat het crisisbeheer in ons land dringend moet worden herbekeken ""We gaan de volgende jaren meer en meer crisissituaties tegenkomen en daar zijn we niet klaar voor"" waarschuwde hij recent Hij pleitte als lid van de Bijzondere Kamercommissie COVID-19 voor de oprichting van een Belgisch agentschap voor crisismanagement een Belgian Emergency Management Agency BEMA naar het voorbeeld van het Amerikaanse Federal Emergency Management Agency FEMA Die aanbeveling is echter gesneuveld in het rapport met de politieke aanbevelingen van de Kamercommissie Op het terrein zelf leveren de hulpdiensten goed en nuttig werk De coördinatie kan meestal wel beter blijkt uit deze reportage van eerder deze week Videospeler inladen Kan Federale Ondersteuningscel soelaas bieden Noodweer Na de kritiek Federale Ondersteuningscel moet coördinatie hulpverlening na overstromingen bijstaan Update do 05 aug 2021 0945 Na de bakken kritiek op het gebrek aan coördinatie van de hulp ter plaatse lijkt sinds gisteren toch iets te verschuiven Minister van Binnenlandse Zaken Annelies Verlinden CD&V heeft de oprichting van een Federale Ondersteuningscel aangekondigd om de hulpverlening beter te coördineren Daarnaast is er ook een orgaan opgericht door de regering van het Waalse gewest het ""Commissariat Spécial à la Reconstruction"" In de Federale Ondersteuningscel zitten verschillende gespecialiseerde medewerkers die verschillende disciplines vertegenwoordigen Het gaat om de Federale Politie Volksgezondheid de brandweer de Civiele Bescherming en Defensie in nauwe samenwerking met de Infocel van het Nationaal Crisiscentrum ",Antwerpen,2021-08-06,https://www.vrt.be/vrtnws/nl/2021/08/06/bfast-kritiek-aanpak-noodweer/
"Solidariteitsactie ""Troost voor Trooz"" van het Bisdom Brugge is een groot succes","In een 20-tal West-Vlaamse kerken werden allerlei goederen ingezameld voor de inwoners van het Waalse Trooz Het Bisdom van Brugge had gehoopt om met één volle vrachtwagen met spullen naar Wallonië te kunnen rijden Maar er werd zoveel materiaal ingezameld dat het er intussen 3 zijn ""We zijn daar al 2 keer geweest dus we kennen de situatie daar al een beetje en weten we ongeveer wat ze kunnen gebruiken Begin januari vertrekken we naar Trooz"" vertelt Luc Verbrugge van Bisdom Brugge aan Margot Derycke bij Radio 2 West-Vlaanderen Copyright 2021 The Associated Press All rights reserved Actie ""Troost voor Trooz"" is een succes De vrijwilligers zullen de spullen daar niet zomaar afzetten ""We gaan in Trooz een soort gratis markt opzetten waar de inwoners naartoe kunnen komen en alles kunnen meenemen wat ze nodig hebben Dat gaat bijvoorbeeld over speelgoed keukengerief alles wat bruikbaar is dat de mensen hier nog hadden liggen Er zitten tot onze verbazing ook heel veel nieuwe dingen tussen Mensen gaven niet alleen dingen die ze al hadden liggen maar zijn ook naar de winkel geweest om nieuwe dingen aan te schaffen Dat vonden we heel merkwaardig maar tegelijkertijd hartverwarmend"" besluit Luc Verbrugge ",Brugge,2021-12-10,https://www.vrt.be/vrtnws/nl/2021/12/10/solidariteitsactie-troost-voor-trooz-van-het-bisdom-brugge-is-ee/
"Identiteit van drenkeling die op Waddeneiland aanspoelde, is na 67 jaar bekend","Een onderzoeksteam van de politie werkte samen met het Nederlands Forensisch Instituut NFI om de identiteit te achterhalen van een man die 67 jaar geleden aanspoelde op Terschelling Hij werd begraven in een anoniem graf op de Algemene Begraafplaats van West-Terschelling waar de stoffelijke overschotten liggen van niet-geïdentificeerde personen die tussen 1953 en 1987 zijn begraven Buitenland Uit het archief 65 jaar geleden treft moordende watersnood Nederland wo 31 jan 2018 2200 De politie opende in 2011 alle anonieme graven van 1953 en later en nam botfragmenten af in de hoop het DNA veilig te stellen Uitgebreid DNA-onderzoek heeft nu de identiteit achterhaald van een drenkeling die in 1953 aanspoelde Het gaat om Johannes Garstenveld Hij was een 30-jarig bemanningslid van de Westland een schip dat op 30 januari 1953 was vertrokken vanuit Cuxhaven in Duitsland en op weg naar Engeland Het schip verging tijdens de beruchte stormvloed van 1 februari 1953 die grote delen van Zeeland Zuid-Holland en Noord-Brabant onder water zette ""De man kon uiteindelijk worden geïdentificeerd dankzij DNA-materiaal van de zoon van de zus van zijn moeder"" zegt rechercheur Miranda Wahle die onderzoek doet naar gevonden personen van wie de identiteit onbekend is Eerder werd op dezelfde manier de identiteit bepaald van de kapitein van het schip Westland Zijn lichaam spoelde enkele weken na dat van Garstenveld aan op Terschelling Ontdek in deze video wat zich precies afspeelde op 31 januari 1953 en in de dagen nadien Videospeler inladen ",Westland,2020-08-17,https://www.vrt.be/vrtnws/nl/2020/08/17/identiteit-van-op-waddeneiland-aangespoelde-drenkeling-is-na-67/
"Watersnood en corona werpen schaduw over nationale feestdag, primeurs voor prinses Elisabeth en prinses Delphine ","De viering van de nationale feestdag wordt uitgezonden op Eén en VRT NWS na ""Het Journaal"" van 13 uur We zijn vandaag toe aan de 140e editie van de nationale feestdag Een dag die normaal gezien gepaard gaat met feest vuurwerk en publiek Net als vorig jaar steekt het coronavirus stokken in de wielen maar ook de watersnood met alle gevolgen van dien werpt een schaduw over deze dag 41 jaar nadat toenmalig kroonprins Filip zijn vader Albert heeft gegroet op de Nationale Feestdag zal kroonprinses Elisabeth hetzelfde doen maar dan bij de inmiddels koning geworden Filip Bekijk hieronder wat we vandaag zoal mogen verwachten Videospeler inladen Deze nationale feestdag zal er dus om verschillende redenen anders uitzien dan andere jaren Dat er door corona geen vuurwerk feest en publiek langs het parcours van het militaire defilé zouden zijn wisten we al langer Maar uit respect voor de slachtoffers van de watersnood van vorige week is het programma nog eens herbekeken Hulde aan de helden Noodweer BEKIJK - Loeiende sirenes minuut stilte en koning pinkt traan weg ons land herdenkt slachtoffers van waterramp di 20 jul 2021 1556 Zo vindt het militair defilé in tegenstelling tot vorig jaar wel plaats maar zal het een stuk soberder en korter zijn dan gepland 26 minuten in de plaats van 40 minuten Dat komt doordat een deel van de mensen en het materiaal van de hulpdiensten en Defensie op dit moment wordt ingezet in het rampgebied Zo valt bijvoorbeeld ook een dynamische demonstratie van helikopters boven het paleis weg Een preludeconcert in het Paleis voor Schone Kunsten in Brussel is ook afgelast Gisteren ging het Bal National op het Vossenplein in Brussel dat traditioneel plaatsvindt aan de vooravond van de nationale feestdag niet door Het thema van vandaag blijft in teken staan van de helden van ons land maar terwijl dat initieel sloeg op de helden van de coronacrisis worden nu ook de personen geëerd die zich al dagen inzetten in de gebieden die getroffen zijn door de watersnood Twee prinsessen Belga Images Royalty Prinses Delphine zal voor het eerst met haar man Jim aanwezig zijn op het nationaal defilé van 21 juli ma 12 jul 2021 1205 Daarnaast zijn er nog twee dingen die vandaag opvallen Het zal voor de eerste en mogelijke enige keer zijn dat kroonprinses Elisabeth mee zal defileren Ze loopt als cadet van de Koninklijke Militaire School mee waar ze het voorbije jaar een opleiding volgde En het zal meteen ook de eerste keer zijn dat er een nieuw volwassen lid van de koninklijke familie bij zal zijn Prinses Delphine en haar man Vorig jaar deze tijd heette Delphine nog Boël met haar achternaam maar eind vorig jaar werd dat na een rechtszaak dan toch van Saksen Coburg De plooien lijken hierbij dus glad gestreken ",Brussel,2021-07-21,https://www.vrt.be/vrtnws/nl/2021/07/20/nationale-feestdag/
